Id,SurfaceArea,NumRooms,Type,Address,Description,Rent,Bookmark,Link
5270848.0,115.0,5.5,flat,"Chemin Simplemont 10, 1005 Lausanne, VD",Bel appartement spacieux et calme a Les Mousquines Lausanne,3570.0,,/en/d/flat-rent-lausanne/5270848?s=2&t=1&l=2023&ct=615&ci=600&pn=25
5266051.0,140.0,4.5,flat,"Chemin de Montolivet 35, 1006 Lausanne, VD",Lumineux et charmant apartament de 4.5 pièces à Ouchy,3650.0,,/en/d/flat-rent-lausanne/5266051?s=2&t=1&l=2023&ct=615&ci=601&pn=26
5200047.0,130.0,4.5,flat,"1010 Lausanne, VD",Superbe appartement meublé / Splendid furnished apartment,3950.0,,/en/d/flat-rent-lausanne/5200047?s=2&t=1&l=2023&ct=615&ci=602&pn=26
5119529.0,133.0,4.5,duplex-maisonette,"Avenue de Morges 11B, 1004 Lausanne, VD",Duplex de 4.5 pièces à Lausanne - Magnifique vue!,3960.0,,/en/d/duplex-maisonette-rent-lausanne/5119529?s=2&t=1&l=2023&ct=615&ci=603&pn=26
5170641.0,156.0,7.0,flat,"Sainte-Luce 12, 1003 Lausanne, VD","Magnifique 5 pces 1/2, vue sud à 180 degrés sur le lac Léman",4050.0,,/en/d/flat-rent-lausanne/5170641?s=2&t=1&l=2023&ct=615&ci=604&pn=26
5258205.0,140.0,,flat,"rue Beau-séjour 8A, 1003 Lausanne, VD",Appartement centre de lausanne à Louer,4600.0,,/en/d/flat-rent-lausanne/5258205?s=2&t=1&l=2023&ct=615&ci=605&pn=26
5287473.0,131.0,4.5,duplex-maisonette,"Avenue Eugène Rambert, 30, 1005 Lausanne, VDClose### CHF 4,840.—FavouriteNew## «A louer appartement de 3 1/2 pièces à Lausanne»1007 Lausanne, VD","Duplex de 131m carré, 4.5 pièces, vue sur le lacA louer appartement de 3 1/2 pièces à Lausanne",4840.0,New,/en/d/duplex-maisonette-rent-lausanne/5287473?s=2&t=1&l=2023&ct=615&ci=606&pn=26
4796165.0,65.0,3.0,flat,"1018 Lausanne, VD",Echange appartement 3 pcs vers rue Pontaise contre 4 pcs,,,/en/d/flat-rent-lausanne/4796165?s=2&t=1&l=2023&ct=615&ci=608&pn=26
5104296.0,75.0,3.5,flat,"Avenue de Sévelin, 1004 Lausanne, VD",Location d’appartement neuf de 3.5 Lausanne /Sévelin,,,/en/d/flat-rent-lausanne/5104296?s=2&t=1&l=2023&ct=615&ci=609&pn=26
5146045.0,106.0,3.5,flat,"1004 Lausanne, VD",Au centre ville,,,/en/d/flat-rent-lausanne/5146045?s=2&t=1&l=2023&ct=615&ci=610&pn=26
5217388.0,,2.5,flat,"1003 Lausanne, VDClose### Price on requestFavourite## «Appartement en location»1005 Lausanne, VD",Nouvelle construction - Le Mont-sur-LausanneAppartement en location,1005.0,## «Appartement en location»,/en/d/flat-rent-lausanne/5217388?s=2&t=1&l=2023&ct=615&ci=611&pn=26
5265935.0,100.0,,single-room,"Boissonnet, 1010 Lausanne, VD",Chambre à louer,,,/en/d/single-room-rent-lausanne/5265935?s=2&t=1&l=2023&ct=615&ci=613&pn=26
5285752.0,120.0,3.5,duplex-maisonette,"rue saint francois, 1003 Lausanne, VDClose### Price on requestFavouriteNew## «Vous cherchez un appartement?»1007 Lausanne, VD",Sublime Duplex 3.5 p Centre ville de LausanneVous cherchez un appartement?,1007.0,NewNew,/en/d/duplex-maisonette-rent-lausanne/5285752?s=2&t=1&l=2023&ct=615&ci=614&pn=26
